time,latitude,longitude,depth,temperature,salinity,oxy_conc,oxy_temperature,oxy_percentsat,oxy_conc_umkg
2022-07-11 22:00:00,56.866,-164.04983333333334,6.0,10.247,32.1584,292.3956652064085,10.345083,104.88513770655108,285.3495734048896
2022-07-11 23:00:00,56.866,-164.04983333333334,6.0,10.2533,32.1551,292.96202405649865,10.342641,105.100093856087,285.90329689899295
2022-07-12 00:00:00,56.866,-164.04983333333334,6.0,10.2477,32.1509,293.6339351667859,10.336538,105.32525405108647,286.55967173702027
2022-07-12 01:00:00,56.866,-164.04983333333334,6.0,10.2645,32.147,294.03729357922197,10.35668,105.50521123634424,286.95495316948194
2022-07-12 02:00:00,56.866,-164.04983333333334,6.0,10.2593,32.147,294.04477679124346,10.353628,105.49606648369144,286.96201172207907
2022-07-12 03:00:00,56.866,-164.04983333333334,6.0,10.2719,32.1515,293.66416551090157,10.365835,105.39153363670476,286.5901788506505
2022-07-12 04:00:00,56.866,-164.04983333333334,6.0,10.2826,32.1509,292.88417537502534,10.371939,105.13540367943523,285.8296095747314
2022-07-12 05:00:00,56.866,-164.04983333333334,6.0,10.2743,32.1521,292.4899206984332,10.364614,104.9759973232736,285.444202066377
2022-07-12 06:00:00,56.866,-164.04983333333334,6.0,10.2922,32.1538,292.13692880078554,10.383536,104.8910439219314,285.1001816589654
2022-07-12 07:00:00,56.866,-164.04983333333334,6.0,10.302,32.1455,291.59965454366267,10.39086,104.71403201472897,284.5781034111969
2022-07-12 08:00:00,56.866,-164.04983333333334,6.0,10.3079,32.1423,291.31974346567597,10.401236,104.6244201655186,284.3058999677387
2022-07-12 09:00:00,56.866,-164.04983333333334,6.0,10.3099,32.1385,291.1187246514651,10.400015,104.55388968337711,284.1106354923979
2022-07-12 10:00:00,56.866,-164.04983333333334,6.0,10.3061,32.1224,290.72874407389384,10.397574,104.39325859598738,283.73334073954834
2022-07-12 11:00:00,56.866,-164.04983333333334,6.0,10.3028,32.1177,290.5069595742864,10.393301,104.30269746090744,283.5177527921937
2022-07-12 12:00:00,56.866,-164.04983333333334,6.0,10.295,32.1081,290.0432711474298,10.388418,104.1115630865885,283.06692495610463
2022-07-12 13:00:00,56.866,-164.04983333333334,6.0,10.2896,32.1062,289.7555822824462,10.378653,103.99477842318281,282.78631407073834
